Album,Track,日本語,Romaji,한국어,歌,Singer,가수,作詞,Lyrics,작사,作曲,Compose,작곡,編曲,Arrange,편곡,Release,Link,Category,Note,発音
スクールアイドルミュージカル,10,わが校の流儀,Wa ga Ko no Ryugi,우리 학교의 방식,蒼乃夕妃（椿 マドカ役）;岡村さやか（滝沢キョウカ役）;大原万由子;金子 楓;鈴木まゆり;藤本くるみ;古沢朋恵;森本めい,Yuki Aono(as Madoka Tsubaki);Sayaka Okamura(as Kyoka Takizawa);Ohara Mayuko;Kaede Kaneko;Mayuri Suzuki;Kurumi Fuzimoto;Tomoe Furusawa;Mei Morimoto,아오노 유키(츠바키 마도카 역);오카무라 사야카(타키자와 쿄카 역);오오하라 마유코;카네코 카에데;스즈키 마유리;후지모토 쿠루미;후루사와 토모에;모리모토 메이,岸本功喜,Koki Kishimoto,키시모토 코우키,小島良太,Ryota Kojima,코지마 료타,小島良太,Ryota Kojima,코지마 료타,2023-05-10,https://youtu.be/psd-npljOtw,,Act 1,わがこうのりゅうぎ
スクールアイドルミュージカル,11,それぞれの役割,Sorezore no Yakuwari,각자의 역할,西葉瑞希（若槻ミスズ役）;岡村さやか（滝沢キョウカ役）,Mizuki Saiba(as Misuzu Wakatsuki);Sayaka Okamura(as Kyoka Takizawa),사이바 미즈키(와카츠키 미스즈 역);오카무라 사야카(타키자와 쿄카 역),岸本功喜,Koki Kishimoto,키시모토 코우키,小島良太,Ryota Kojima,코지마 료타,小島良太,Ryota Kojima,코지마 료타,2023-05-10,https://youtu.be/dJoGhI7Mex8,,Act 1,それぞれのやくわり
スクールアイドルミュージカル,12,平凡な未来,Heibon na Mirai,평범한 미래,堀内まり菜（椿 ルリカ役）;浅井七海（皇 ユズハ役）;杏 ジュリア（北条ユキノ役）;小山璃奈（天草ヒカル役）;佐藤美波（三笠マーヤ役）;大原万由子;金子 楓;鈴木まゆり;中﨑花音;藤本くるみ;古沢朋恵;森本めい;渡辺菜花,Marina Horiuchi(as Rurika Tsubaki);Nanami Asai(as Yuzuha Sumeragi);An Juria(as Yukino Hojo);Rina Koyama(as Hikaru Amakusa);Minami Sato(as Maya Mikasa);Ohara Mayuko;Kaede Kaneko;Mayuri Suzuki;Kanon Nakazaki;Kurumi Fuzimoto;Tomoe Furusawa;Mei Morimoto;Nanoka Watanabe,호리우치 마리나(츠바키 루리카 역);아사이 나나미(스메라기 유즈하 역);안 쥬리아(호죠 유키노 역);코야마 리나(아마쿠사 히카루 역);사토 미나미(미카사 마야 역);오오하라 마유코;카네코 카에데;스즈키 마유리;나카자키 카논;후지모토 쿠루미;후루사와 토모에;모리모토 메이;와타나베 나노카,岸本功喜,Koki Kishimoto,키시모토 코우키,小島良太,Ryota Kojima,코지마 료타,小島良太,Ryota Kojima,코지마 료타,2023-05-10,https://youtu.be/Jk01v6en-ic,,Act 1,へいぼんなみらい
スクールアイドルミュージカル,13,噂の転校生,Uwasa no Tenkosei,소문의 전학생,大原万由子;金子 楓;鈴木まゆり;中﨑花音;藤本くるみ;古沢朋恵;森本めい;渡辺菜花,Ohara Mayuko;Kaede Kaneko;Mayuri Suzuki;Kanon Nakazaki;Kurumi Fuzimoto;Tomoe Furusawa;Mei Morimoto;Nanoka Watanabe,오오하라 마유코;카네코 카에데;스즈키 마유리;나카자키 카논;후지모토 쿠루미;후루사와 토모에;모리모토 메이;와타나베 나노카,岸本功喜,Koki Kishimoto,키시모토 코우키,小島良太,Ryota Kojima,코지마 료타,小島良太,Ryota Kojima,코지마 료타,2023-05-10,https://youtu.be/FSPq5FFSdpI,,Act 1,うわさのてんこうせい
スクールアイドルミュージカル,14,発足！椿咲花アイドル部,Hossoku! Tsubakisakuhana Idol Club,발족! 츠바키사쿠하나 아이돌부,堀内まり菜（椿 ルリカ役）;浅井七海（皇 ユズハ役）;杏 ジュリア（北条ユキノ役）;小山璃奈（天草ヒカル役）;佐藤美波（三笠マーヤ役）;関根優那（滝沢アンズ役）;西葉瑞希（若槻ミスズ役）;星守紗凪（来栖トア役）;三田美吹（鈴賀レナ役）;青山瑠里（晴風サヤカ役）;蒼乃夕妃（椿 マドカ役）;岡村さやか（滝沢キョウカ役）;大原万由子;金子 楓;鈴木まゆり;中﨑花音;藤本くるみ;古沢朋恵;森本めい;渡辺菜花,Marina Horiuchi(as Rurika Tsubaki);Nanami Asai(as Yuzuha Sumeragi);An Juria(as Yukino Hojo);Rina Koyama(as Hikaru Amakusa);Minami Sato(as Maya Mikasa);Yuuna Sekine(as Anzu Takizawa);Mizuki Saiba(as Misuzu Wakatsuki);Sana Hoshimori(as Toa Kurusu);Ibuki Mita(as Rena Suzuka);Ruri Aoyama(as Sayaka Harukaze);Yuki Aono(as Madoka Tsubaki);Sayaka Okamura(as Kyoka Takizawa);Ohara Mayuko;Kaede Kaneko;Mayuri Suzuki;Kanon Nakazaki;Kurumi Fuzimoto;Tomoe Furusawa;Mei Morimoto;Nanoka Watanabe,호리우치 마리나(츠바키 루리카 역);아사이 나나미(스메라기 유즈하 역);안 쥬리아(호죠 유키노 역);코야마 리나(아마쿠사 히카루 역);사토 미나미(미카사 마야 역);세키네 유우나(타키자와 안즈 역);사이바 미즈키(와카츠키 미스즈 역);호시모리 사나(쿠루스 토아 역);미타 이부키(스즈카 레나 역);아오야마 루리(하루카제 사야카 역);아오노 유키(츠바키 마도카 역);오카무라 사야카(타키자와 쿄카 역);오오하라 마유코;카네코 카에데;스즈키 마유리;나카자키 카논;후지모토 쿠루미;후루사와 토모에;모리모토 메이;와타나베 나노카,岸本功喜,Koki Kishimoto,키시모토 코우키,小島良太,Ryota Kojima,코지마 료타,小島良太,Ryota Kojima,코지마 료타,2023-05-10,https://youtu.be/Ljg2bB5XaYQ,,Act 1,ほっそく！つばきさくはなアイドルぶ
スクールアイドルミュージカル,15,アントラクト(instrumental),Entracte (instrumental),간주 (instrumental),NA,NA,NA,NA,NA,NA,小島良太,Ryota Kojima,코지마 료타,小島良太,Ryota Kojima,코지마 료타,2023-05-10,https://youtu.be/aQl_dah7MjQ,,Act 2,アントラクト(インストゥルメンタル)
スクールアイドルミュージカル,16,新しいチャンス,Atarashii Chance,새로운 찬스,西葉瑞希（若槻ミスズ役）;星守紗凪（来栖トア役）;三田美吹（鈴賀レナ役）;青山瑠里（晴風サヤカ役）;岡村さやか（滝沢キョウカ役）;大原万由子;金子 楓;鈴木まゆり;中﨑花音;藤本くるみ;古沢朋恵;森本めい;渡辺菜花,Mizuki Saiba(as Misuzu Wakatsuki);Sana Hoshimori(as Toa Kurusu);Ibuki Mita(as Rena Suzuka);Ruri Aoyama(as Sayaka Harukaze);Sayaka Okamura(as Kyoka Takizawa);Mayuko Ohara;Kaede Kaneko;Mayuri Suzuki;Kanon Nakazaki;Kurumi Fuzimoto;Tomoe Furusawa;Mei Morimoto;Nanoka Watanabe,사이바 미즈키(와카츠키 미스즈 역);호시모리 사나(쿠루스 토아 역);미타 이부키(스즈카 레나 역);아오야마 루리(하루카제 사야카 역);오카무라 사야카(타키자와 쿄카 역);오오하라 마유코;카네코 카에데;스즈키 마유리;나카자키 카논;후지모토 쿠루미;후루사와 토모에;모리모토 메이;와타나베 나노카,岸本功喜,Koki Kishimoto,키시모토 코우키,小島良太,Ryota Kojima,코지마 료타,小島良太,Ryota Kojima,코지마 료타,2023-05-10,https://youtu.be/EiDxSLz4qW0,,Act 2,あたしいチャンス
スクールアイドルミュージカル,17,親友,Shinyu,친구,堀内まり菜（椿 ルリカ役）;浅井七海（皇 ユズハ役）,Marina Horiuchi(as Rurika Tsubaki);Nanami Asai(as Yuzuha Sumeragi),호리우치 마리나(츠바키 루리카 역);아사이 나나미(스메라기 유즈하 역),岸本功喜,Koki Kishimoto,키시모토 코우키,小島良太,Ryota Kojima,코지마 료타,小島良太,Ryota Kojima,코지마 료타,2023-05-10,https://youtu.be/41Lp24zUNjA,,Act 2,しんゆう
スクールアイドルミュージカル,18,目指せメジャーデビュー Reprise,Mezase Major Debut (Reprise),노려라 메이저 데뷔 (Reprise),西葉瑞希（若槻ミスズ役）;星守紗凪（来栖トア役）;三田美吹（鈴賀レナ役）;青山瑠里（晴風サヤカ役）;大原万由子;金子 楓;鈴木まゆり;中﨑花音;藤本くるみ;古沢朋恵;森本めい;渡辺菜花,Mizuki Saiba(as Misuzu Wakatsuki);Sana Hoshimori(as Toa Kurusu);Ibuki Mita(as Rena Suzuka);Ruri Aoyama(as Sayaka Harukaze);Mayuko Ohara;Kaede Kaneko;Mayuri Suzuki;Kanon Nakazaki;Kurumi Fuzimoto;Tomoe Furusawa;Mei Morimoto;Nanoka Watanabe,사이바 미즈키(와카츠키 미스즈 역);호시모리 사나(쿠루스 토아 역);미타 이부키(스즈카 레나 역);아오야마 루리(하루카제 사야카 역);오오하라 마유코;카네코 카에데;스즈키 마유리;나카자키 카논;후지모토 쿠루미;후루사와 토모에;모리모토 메이;와타나베 나노카,岸本功喜,Koki Kishimoto,키시모토 코우키,小島良太,Ryota Kojima,코지마 료타,小島良太,Ryota Kojima,코지마 료타,2023-05-10,https://youtu.be/CrxE7IM-_2M,,Act 2,めざせメジャーデビュー リプライズ
スクールアイドルミュージカル,19,深まる仲,Fukamaru Naka,깊어지는 사이,堀内まり菜（椿 ルリカ役）;浅井七海（皇 ユズハ役）;杏 ジュリア（北条ユキノ役）;小山璃奈（天草ヒカル役）;佐藤美波（三笠マーヤ役）;関根優那（滝沢アンズ役）;大原万由子;金子 楓;鈴木まゆり;中﨑花音;藤本くるみ;古沢朋恵;森本めい;渡辺菜花,Marina Horiuchi(as Rurika Tsubaki);Nanami Asai(as Yuzuha Sumeragi);An Juria(as Yukino Hojo);Rina Koyama(as Hikaru Amakusa);Minami Sato(as Maya Mikasa);Yuuna Sekine(as Anzu Takizawa);Ohara Mayuko;Kaede Kaneko;Mayuri Suzuki;Kanon Nakazaki;Kurumi Fuzimoto;Tomoe Furusawa;Mei Morimoto;Nanoka Watanabe,호리우치 마리나(츠바키 루리카 역);아사이 나나미(스메라기 유즈하 역);안 쥬리아(호죠 유키노 역);코야마 리나(아마쿠사 히카루 역);사토 미나미(미카사 마야 역);세키네 유우나(타키자와 안즈 역);오오하라 마유코;카네코 카에데;스즈키 마유리;나카자키 카논;후지모토 쿠루미;후루사와 토모에;모리모토 메이;와타나베 나노카,岸本功喜,Koki Kishimoto,키시모토 코우키,小島良太,Ryota Kojima,코지마 료타,小島良太,Ryota Kojima,코지마 료타,2023-05-10,https://youtu.be/wUnZXRbeAqA,,Act 2,ふかまるなか
スクールアイドルミュージカル,20,伝統の系譜 Reprise,Dento no Keifu (Reprise),전통의 계보 (Reprise),堀内まり菜（椿 ルリカ役）,Marina Horiuchi(as Rurika Tsubaki),호리우치 마리나(츠바키 루리카 역),岸本功喜,Koki Kishimoto,키시모토 코우키,小島良太,Ryota Kojima,코지마 료타,小島良太,Ryota Kojima,코지마 료타,2023-05-10,https://youtu.be/5L2UQ0_RvT8,,Act 2,でんとうのけいふ リプライズ
スクールアイドルミュージカル,21,なくして初めて気づくこと,Nakushite Hajimete Kizuku Koto,잃어버리고 나서야 깨닫는 것들,大原万由子;金子 楓;鈴木まゆり;中﨑花音;藤本くるみ;古沢朋恵;森本めい;渡辺菜花,Ohara Mayuko;Kaede Kaneko;Mayuri Suzuki;Kanon Nakazaki;Kurumi Fuzimoto;Tomoe Furusawa;Mei Morimoto;Nanoka Watanabe,오오하라 마유코;카네코 카에데;스즈키 마유리;나카자키 카논;후지모토 쿠루미;후루사와 토모에;모리모토 메이;와타나베 나노카,岸本功喜,Koki Kishimoto,키시모토 코우키,小島良太,Ryota Kojima,코지마 료타,小島良太,Ryota Kojima,코지마 료타,2023-05-10,https://youtu.be/9TCMBW4HjQQ,,Act 2,なくしてはじめてきづくこと
スクールアイドルミュージカル,22,君と見る夢,Kimi to Miru Yume,너와 함께 꾸는 꿈,堀内まり菜（椿 ルリカ役）;浅井七海（皇 ユズハ役）;杏 ジュリア（北条ユキノ役）;小山璃奈（天草ヒカル役）;佐藤美波（三笠マーヤ役）;関根優那（滝沢アンズ役）,Marina Horiuchi(as Rurika Tsubaki);Nanami Asai(as Yuzuha Sumeragi);An Juria(as Yukino Hojo);Rina Koyama(as Hikaru Amakusa);Minami Sato(as Maya Mikasa);Yuuna Sekine(as Anzu Takizawa),호리우치 마리나(츠바키 루리카 역);아사이 나나미(스메라기 유즈하 역);안 쥬리아(호죠 유키노 역);코야마 리나(아마쿠사 히카루 역);사토 미나미(미카사 마야 역);세키네 유우나(타키자와 안즈 역),岸本功喜,Koki Kishimoto,키시모토 코우키,小島良太,Ryota Kojima,코지마 료타,小島良太,Ryota Kojima,코지마 료타,2023-05-10,https://youtu.be/XCUIQzN_x0E,,Act 2,きみとみるゆめ
スクールアイドルミュージカル,23,君と見る夢 Reprise,Kimi to Miru Yume (Reprise),너와 함께 꾸는 꿈 (Reprise),堀内まり菜（椿 ルリカ役）;浅井七海（皇 ユズハ役）;杏 ジュリア（北条ユキノ役）;小山璃奈（天草ヒカル役）;佐藤美波（三笠マーヤ役）;関根優那（滝沢アンズ役）;岡村さやか（滝沢キョウカ役）,Marina Horiuchi(as Rurika Tsubaki);Nanami Asai(as Yuzuha Sumeragi);An Juria(as Yukino Hojo);Rina Koyama(as Hikaru Amakusa);Minami Sato(as Maya Mikasa);Yuuna Sekine(as Anzu Takizawa);Sayaka Okamura(as Kyoka Takizawa),호리우치 마리나(츠바키 루리카 역);아사이 나나미(스메라기 유즈하 역);안 쥬리아(호죠 유키노 역);코야마 리나(아마쿠사 히카루 역);사토 미나미(미카사 마야 역);세키네 유우나(타키자와 안즈 역);오카무라 사야카(타키자와 쿄카 역),岸本功喜,Koki Kishimoto,키시모토 코우키,小島良太,Ryota Kojima,코지마 료타,小島良太,Ryota Kojima,코지마 료타,2023-05-10,https://youtu.be/1IStD-TsFF4,,Act 2,きみとみるゆめ リプライズ
スクールアイドルミュージカル,24,明日はきっと,Ashita wa Kitto,내일은 꼭,堀内まり菜（椿 ルリカ役）,Marina Horiuchi(as Rurika Tsubaki),호리우치 마리나(츠바키 루리카 역),岸本功喜,Koki Kishimoto,키시모토 코우키,小島良太,Ryota Kojima,코지마 료타,小島良太,Ryota Kojima,코지마 료타,2023-05-10,https://youtu.be/QSChMsz8Wps,,Act 2,あしたはきっと
